feature,posterior_mean,posterior_sd,ci_low,ci_high,map_estimate
V452,0.6865506076274616,0.36181255870539814,0.0010333716130024302,1.368830959945065,0.6771909677834937
V029,-0.5842452991864879,0.3790532833180529,-1.3281891836503508,0.14237959164062,-0.5914021649722544
V443,-0.5526766415247383,0.39291684444960956,-1.2990707544053883,0.18254622661965986,-0.562046617609224
V434,0.4838109499957445,0.3884277487180466,-0.3355604827690836,1.1905859365467197,0.4971949214840168
V476,0.4795026122793781,0.4017942218441043,-0.3109473928857783,1.2238748500743655,0.457023793457301
V339,0.4598486323861086,0.43816684986732074,-0.4180224226780247,1.3089090062990743,0.4417763643987507
V154,-0.45574792674978987,0.3869256253369502,-1.192035840401303,0.30693567712902214,-0.46619654667370497
V319,-0.4103740309815849,0.37678615787321024,-1.2157993463595032,0.33134919854969724,-0.4092093834647702
V282,-0.2861170601118594,0.39718505709870305,-1.0749133620541231,0.4327469340702363,-0.28125026755950017
V494,0.26312875088232185,0.3738359688818397,-0.4346562581699093,0.999374117922581,0.2511714752101975
V379,-0.2566231983407864,0.3273520964489194,-0.9222268047260692,0.36563551980886894,-0.254014100546163
V129,0.2388787803367309,0.36513880412429284,-0.4619647942278727,0.952233730365176,0.22779264337849953
V049,0.22279440458298672,0.33359409458371864,-0.4280678375262738,0.8937460645737169,0.21848517833088538
V065,0.16657134328770584,0.3875744001169097,-0.5969996213349198,0.8994151978442332,0.1635127998077542
V106,0.14582858383413072,0.37241207068096116,-0.5786987735657118,0.8725028317535518,0.16269700064839515
V242,0.10471456813869567,0.3766633773946999,-0.6133302274475604,0.8666314899235861,0.0921550923879375
V454,0.06354528983986185,0.371794154607639,-0.6134394278724421,0.8596894945093714,0.05017401552192344
V335,-0.04966289043486189,0.04651848377454775,-0.13557551185313255,0.04438849982311566,-0.04802092290273431
V473,-0.03769164931301375,0.41571767146458366,-0.8492384341478167,0.7901840962862194,-0.028568889354667934
V337,-0.0035070280469318062,0.38251456918132326,-0.7503017667799637,0.7323326404537547,-0.01616723495581667
