method,bin_low,bin_high,mean_predicted_probability,observed_positive_rate,n
L2 Logistic MAP,0.2,0.30000000000000004,0.26687827666023634,0.25806451612903225,31
L2 Logistic MAP,0.30000000000000004,0.4,0.3542736643479289,0.4214876033057851,121
L2 Logistic MAP,0.4,0.5,0.45271808616531084,0.42567567567567566,148
L2 Logistic MAP,0.5,0.6000000000000001,0.5465971714287818,0.5167785234899329,149
L2 Logistic MAP,0.6000000000000001,0.7000000000000001,0.6431173339057633,0.652542372881356,118
L2 Logistic MAP,0.7000000000000001,0.8,0.7322916158300408,0.7333333333333333,30
L2 Logistic MAP,0.8,0.9,0.8461018697956272,0.6666666666666666,3
Bayesian Logistic Laplace,0.2,0.30000000000000004,0.26849069058534447,0.25806451612903225,31
Bayesian Logistic Laplace,0.30000000000000004,0.4,0.355497760131226,0.4214876033057851,121
Bayesian Logistic Laplace,0.4,0.5,0.4521499268926275,0.42758620689655175,145
Bayesian Logistic Laplace,0.5,0.6000000000000001,0.546048127740506,0.5064935064935064,154
Bayesian Logistic Laplace,0.6000000000000001,0.7000000000000001,0.6437498050518016,0.6666666666666666,117
Bayesian Logistic Laplace,0.7000000000000001,0.8,0.7319691724549383,0.7241379310344828,29
Bayesian Logistic Laplace,0.8,0.9,0.8436220271527554,0.6666666666666666,3
