class,iteration,lower_bound
-1,1,-9.914250687260425
-1,2,-9.868479265182954
-1,3,-9.841002032504905
-1,4,-9.817601836258858
-1,5,-9.800635104519465
-1,6,-9.788870012614115
-1,7,-9.782340217910754
-1,8,-9.777705672673518
-1,9,-9.773944618624558
-1,10,-9.77072142293262
-1,11,-9.767664366401826
-1,12,-9.764401151868979
-1,13,-9.760725540796333
-1,14,-9.756886931851637
-1,15,-9.753241306701991
-1,16,-9.74997764941478
-1,17,-9.747190765092082
-1,18,-9.744710951118723
-1,19,-9.742297057724299
-1,20,-9.739589427537839
-1,21,-9.735894124462156
-1,22,-9.730300876382291
-1,23,-9.723087807341454
-1,24,-9.716126014814376
-1,25,-9.711217517874953
-1,26,-9.708918537892707
-1,27,-9.707617607743128
-1,28,-9.706523607721675
-1,29,-9.705538554915641
-1,30,-9.70476142061225
1,1,-9.85682091693997
1,2,-9.798382764390231
1,3,-9.766410717321115
1,4,-9.745093541141111
1,5,-9.7332603368692
1,6,-9.727313443040577
1,7,-9.724004361919423
1,8,-9.721382209171937
1,9,-9.719135166641456
1,10,-9.717386049120249
1,11,-9.715573870355007
1,12,-9.713747218222187
1,13,-9.712534671177359
1,14,-9.71166912604597
1,15,-9.710955706684393
1,16,-9.710320570917007
1,17,-9.709719520948951
1,18,-9.709108431150879
1,19,-9.708430213451631
1,20,-9.707595252095427
1,21,-9.706448841093467
1,22,-9.704797857841553
1,23,-9.702642651689674
1,24,-9.700462398553809
1,25,-9.698927795628556
1,26,-9.697909603660813
1,27,-9.697148705994834
1,28,-9.696706387884714
1,29,-9.69652483167161
1,30,-9.696446317681945
