method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,best_params
Gradient Boosting,500,18.256647208007053,0.009787458053324372,0.755,0.755,0.8411777777777779,0.7570247933884298,{}
Random Forest,500,0.7661900419625454,0.07665100001031533,0.7283333333333334,0.7283333333333333,0.8208888888888889,0.7165217391304348,{}
Extra Trees,500,0.3084162909653969,0.07545033399946988,0.6816666666666666,0.6816666666666666,0.7541722222222222,0.6757215619694398,{}
L1 Logistic,500,6.862522542010993,0.008722166996449232,0.6316666666666667,0.6316666666666666,0.6419222222222222,0.6310517529215359,"{""model__C"": 0.01}"
Elastic Net Logistic,500,15.048543667013291,0.009333750000223517,0.6133333333333333,0.6133333333333333,0.6439555555555556,0.6067796610169491,"{""model__C"": 0.01, ""model__l1_ratio"": 0.5}"
RBF-SVM,500,30.823734457953833,0.49343587504699826,0.5983333333333334,0.5983333333333334,0.45466111111111107,0.6003316749585407,"{""model__C"": 10.0, ""model__gamma"": 0.01}"
MLP,500,1.3039605829981156,0.011715957953128964,0.585,0.585,0.6081222222222222,0.5856905158069884,{}
Logistic Regression,500,2.1210209160344675,0.0088224170031026,0.58,0.5800000000000001,0.6019777777777777,0.5785953177257525,"{""model__C"": 0.01}"
L2 Logistic,500,1.9479502910398878,0.009571167000103742,0.58,0.5800000000000001,0.6019777777777777,0.5785953177257525,"{""model__C"": 0.01}"
Linear SVM,500,1.7096889580134302,0.00926525000249967,0.58,0.58,0.5984333333333334,0.58,"{""model__C"": 0.01}"
LDA,500,1.3002126670326106,0.00834258395479992,0.5766666666666667,0.5766666666666667,0.6035111111111111,0.5694915254237288,{}
Shrinkage LDA,500,0.29392895800992846,0.009670917002949864,0.5766666666666667,0.5766666666666667,0.6178888888888889,0.5665529010238908,{}
Regularized QDA,500,13.172065416991245,0.04350675002206117,0.5666666666666667,0.5666666666666667,0.5888333333333333,0.5751633986928104,"{""model__reg_param"": 0.7}"
KNN,500,0.5429619580390863,0.039212375006172806,0.5566666666666666,0.5566666666666666,0.5665166666666666,0.5145985401459854,"{""model__n_neighbors"": 15}"
Majority Class,500,0.0010614579659886658,0.00021441600983962417,0.5,0.5,0.5,0.0,{}
