model_a,model_b,accuracy_diff,ci_lower,ci_upper,ci_crosses_zero
Best FS: Random Forest + Random Forest (k=20),Best PCA: RBF-SVM (PCs=5),0.056666666666666754,0.018333333333333313,0.09666666666666668,False
Best FS: Random Forest + Random Forest (k=20),Gradient Boosting,0.13666666666666671,0.09499999999999997,0.17999999999999994,False
Best FS: Random Forest + Random Forest (k=20),Random Forest,0.16333333333333333,0.12166666666666659,0.20666666666666667,False
Best FS: Random Forest + Random Forest (k=20),Extra Trees,0.21000000000000008,0.16662499999999997,0.2517083333333333,False
Best FS: Random Forest + Random Forest (k=20),Best regularized: L1 Logistic (C=0.01),0.26,0.21333333333333326,0.30504166666666666,False
Best FS: Random Forest + Random Forest (k=20),L1 Logistic,0.26,0.2132916666666666,0.30499999999999994,False
Best FS: Random Forest + Random Forest (k=20),Elastic Net Logistic,0.27833333333333343,0.23329166666666662,0.32337499999999997,False
Best FS: Random Forest + Random Forest (k=20),RBF-SVM,0.29333333333333333,0.2433333333333333,0.33999999999999997,False
Best FS: Random Forest + Random Forest (k=20),MLP,0.30666666666666675,0.25662500000000005,0.3517083333333333,False
Best FS: Random Forest + Random Forest (k=20),Linear SVM,0.31166666666666676,0.26662499999999995,0.3583333333333333,False
Best FS: Random Forest + Random Forest (k=20),L2 Logistic,0.31166666666666676,0.2666666666666667,0.3566666666666666,False
Best FS: Random Forest + Random Forest (k=20),Logistic Regression,0.31166666666666676,0.26662499999999995,0.3566666666666667,False
Best FS: Random Forest + Random Forest (k=20),LDA,0.31500000000000006,0.2683333333333333,0.3616666666666666,False
Best FS: Random Forest + Random Forest (k=20),Shrinkage LDA,0.31500000000000006,0.2666666666666667,0.3616666666666666,False
Best FS: Random Forest + Random Forest (k=20),Regularized QDA,0.32500000000000007,0.2766666666666666,0.3733333333333333,False
Best FS: Random Forest + Random Forest (k=20),KNN,0.3350000000000001,0.28995833333333326,0.3800416666666666,False
Best FS: Random Forest + Random Forest (k=20),Majority Class,0.3916666666666667,0.3433333333333334,0.4416666666666667,False
